"","book_name","book_score","people","author","date","pub"
"1","活着","9.4","473675","余华 ","2012-8-1 "," 作家出版社"
"2","百年孤独","9.2","285244","[哥伦比亚] 加西亚·马尔克斯 ","2011-6 "," 范晔 / 南海出版"
"3","1984","9.3","140949","[英] 乔治·奥威尔 ","2010-4-1 "," 刘绍铭 / 北京十月文艺出版社"
"4","飘","9.3","153771","[美国] 玛格丽特·米切尔 ","2000-9 "," 李美华 / 译林出版社"
"5","三体全集

                
                   : 地球往事三部曲","9.4","41786","刘慈欣 ","2012-1-1 "," 重庆出版社"
"6","三国演义（全二册）","9.3","118194","[明] 罗贯中 ","1998-05 "," 人民文学出版社"
"7","白夜行","9.1","254241","[日] 东野圭吾 ","2013-1-1 "," 刘姿君 / 南海出版"
"8","福尔摩斯探案全集（上中下）","9.2","89356","[英] 阿·柯南道尔 ","1981-8 / 53.00元"," 丁钟华 等 / 群众出版社"
"9","动物农场","9.2","86494","[英] 乔治·奥威尔 ","2007-3 "," 荣如德 / 上海译文出版社"
"10","房思琪的初恋乐园","9.2","178906","林奕含 ","2018-1 "," 北京联合出版"
"11","小王子","9.0","561936","[法] 圣埃克苏佩里 ","2003-8 "," 马振聘 / 人民文学出版社"
"12","天龙八部","9.1","100143","金庸 ","1994-5 ",NA
"13","撒哈拉的故事","9.2","71591","三毛 ","2003-8 "," 哈尔滨出版社"
"14","安徒生童话故事集","9.2","85612","（丹麦）安徒生 ","1997-08 "," 叶君健 / 人民文学出版社"
"15","哈利<U+2022>波特","9.7","16806","J.K.罗琳 (J.K.Rowling) ","2008-12-1 "," 人民文学出版社"
"16","人类简史

                
                   : 从动物到上帝","9.1","126534","[以色列] 尤瓦尔·赫拉利 ","2014-11 "," 林俊宏 / 中信出版社"
"17","沉默的大多数

                
                   : 王小波杂文随笔全编","9.1","97035","王小波 ","1997-10 "," 中国青年出版社"
"18","围城","8.9","364972","钱锺书 ","1991-2 "," 人民文学出版社"
"19","平凡的世界（全三部）","9.0","244817","路遥 ","2005-1 "," 人民文学出版社"
"20","霍乱时期的爱情","9.0","177632","[哥伦比亚] 加西亚·马尔克斯 ","2012-9-1 "," 杨玲 / 南海出版"
"21","局外人","9.0","122251","[法] 阿尔贝·加缪 ","2010-8 "," 柳鸣九 / 上海译文出版社"
"22","明朝那些事儿（1-9）

                
                   : 限量版","9.1","81521","当年明月 ","2009-4 "," 中国海关出版社"
"23","杀死一只知更鸟","9.2","71955","[美] 哈珀·李 ","2012-9 "," 高红梅 / 译林出版社"
"24","笑傲江湖（全四册）","9.0","86353","金庸 ","1994-5 ",NA
"25","月亮和六便士","9.0","127520","[英] 毛姆 ","2006-8 "," 傅惟慈 / 上海译文出版社"
"26","百年孤独","9.2","285244","[哥伦比亚] 加西亚·马尔克斯 ","2011-6 "," 范晔 / 南海出版"
"27","1984","9.3","140949","[英] 乔治·奥威尔 ","2010-4-1 "," 刘绍铭 / 北京十月文艺出版社"
"28","飘","9.3","153771","[美国] 玛格丽特·米切尔 ","2000-9 "," 李美华 / 译林出版社"
"29","三体全集

                
                   : 地球往事三部曲","9.4","41786","刘慈欣 ","2012-1-1 "," 重庆出版社"
"30","三国演义（全二册）","9.3","118194","[明] 罗贯中 ","1998-05 "," 人民文学出版社"
"31","白夜行","9.1","254241","[日] 东野圭吾 ","2013-1-1 "," 刘姿君 / 南海出版"
"32","福尔摩斯探案全集（上中下）","9.2","89356","[英] 阿·柯南道尔 ","1981-8 / 53.00元"," 丁钟华 等 / 群众出版社"
"33","动物农场","9.2","86494","[英] 乔治·奥威尔 ","2007-3 "," 荣如德 / 上海译文出版社"
"34","房思琪的初恋乐园","9.2","178906","林奕含 ","2018-1 "," 北京联合出版"
"35","小王子","9.0","561936","[法] 圣埃克苏佩里 ","2003-8 "," 马振聘 / 人民文学出版社"
"36","天龙八部","9.1","100143","金庸 ","1994-5 ",NA
"37","撒哈拉的故事","9.2","71591","三毛 ","2003-8 "," 哈尔滨出版社"
"38","安徒生童话故事集","9.2","85612","（丹麦）安徒生 ","1997-08 "," 叶君健 / 人民文学出版社"
"39","哈利<U+2022>波特","9.7","16806","J.K.罗琳 (J.K.Rowling) ","2008-12-1 "," 人民文学出版社"
"40","人类简史

                
                   : 从动物到上帝","9.1","126534","[以色列] 尤瓦尔·赫拉利 ","2014-11 "," 林俊宏 / 中信出版社"
"41","沉默的大多数

                
                   : 王小波杂文随笔全编","9.1","97035","王小波 ","1997-10 "," 中国青年出版社"
"42","围城","8.9","364972","钱锺书 ","1991-2 "," 人民文学出版社"
"43","平凡的世界（全三部）","9.0","244817","路遥 ","2005-1 "," 人民文学出版社"
"44","霍乱时期的爱情","9.0","177632","[哥伦比亚] 加西亚·马尔克斯 ","2012-9-1 "," 杨玲 / 南海出版"
"45","局外人","9.0","122251","[法] 阿尔贝·加缪 ","2010-8 "," 柳鸣九 / 上海译文出版社"
"46","明朝那些事儿（1-9）

                
                   : 限量版","9.1","81521","当年明月 ","2009-4 "," 中国海关出版社"
"47","杀死一只知更鸟","9.2","71955","[美] 哈珀·李 ","2012-9 "," 高红梅 / 译林出版社"
"48","笑傲江湖（全四册）","9.0","86353","金庸 ","1994-5 ",NA
"49","月亮和六便士","9.0","127520","[英] 毛姆 ","2006-8 "," 傅惟慈 / 上海译文出版社"
"50","基督山伯爵","9.0","97978","大仲马 ","1991-12-1 "," 周克希 / 上海译文出版社"
"51","1984","9.3","140949","[英] 乔治·奥威尔 ","2010-4-1 "," 刘绍铭 / 北京十月文艺出版社"
"52","飘","9.3","153771","[美国] 玛格丽特·米切尔 ","2000-9 "," 李美华 / 译林出版社"
"53","三体全集

                
                   : 地球往事三部曲","9.4","41786","刘慈欣 ","2012-1-1 "," 重庆出版社"
"54","三国演义（全二册）","9.3","118194","[明] 罗贯中 ","1998-05 "," 人民文学出版社"
"55","白夜行","9.1","254241","[日] 东野圭吾 ","2013-1-1 "," 刘姿君 / 南海出版"
"56","福尔摩斯探案全集（上中下）","9.2","89356","[英] 阿·柯南道尔 ","1981-8 / 53.00元"," 丁钟华 等 / 群众出版社"
"57","动物农场","9.2","86494","[英] 乔治·奥威尔 ","2007-3 "," 荣如德 / 上海译文出版社"
"58","房思琪的初恋乐园","9.2","178906","林奕含 ","2018-1 "," 北京联合出版"
"59","小王子","9.0","561936","[法] 圣埃克苏佩里 ","2003-8 "," 马振聘 / 人民文学出版社"
"60","天龙八部","9.1","100143","金庸 ","1994-5 ",NA
"61","撒哈拉的故事","9.2","71591","三毛 ","2003-8 "," 哈尔滨出版社"
"62","安徒生童话故事集","9.2","85612","（丹麦）安徒生 ","1997-08 "," 叶君健 / 人民文学出版社"
"63","哈利<U+2022>波特","9.7","16806","J.K.罗琳 (J.K.Rowling) ","2008-12-1 "," 人民文学出版社"
"64","人类简史

                
                   : 从动物到上帝","9.1","126534","[以色列] 尤瓦尔·赫拉利 ","2014-11 "," 林俊宏 / 中信出版社"
"65","沉默的大多数

                
                   : 王小波杂文随笔全编","9.1","97035","王小波 ","1997-10 "," 中国青年出版社"
"66","围城","8.9","364972","钱锺书 ","1991-2 "," 人民文学出版社"
"67","平凡的世界（全三部）","9.0","244817","路遥 ","2005-1 "," 人民文学出版社"
"68","霍乱时期的爱情","9.0","177632","[哥伦比亚] 加西亚·马尔克斯 ","2012-9-1 "," 杨玲 / 南海出版"
"69","局外人","9.0","122251","[法] 阿尔贝·加缪 ","2010-8 "," 柳鸣九 / 上海译文出版社"
"70","明朝那些事儿（1-9）

                
                   : 限量版","9.1","81521","当年明月 ","2009-4 "," 中国海关出版社"
"71","杀死一只知更鸟","9.2","71955","[美] 哈珀·李 ","2012-9 "," 高红梅 / 译林出版社"
"72","笑傲江湖（全四册）","9.0","86353","金庸 ","1994-5 ",NA
"73","月亮和六便士","9.0","127520","[英] 毛姆 ","2006-8 "," 傅惟慈 / 上海译文出版社"
"74","基督山伯爵","9.0","97978","大仲马 ","1991-12-1 "," 周克希 / 上海译文出版社"
"75","肖申克的救赎","9.1","82799","[美] 斯蒂芬·金 ","2006-7 "," 施寄青 / 人民文学出版社"
"76","飘","9.3","153771","[美国] 玛格丽特·米切尔 ","2000-9 "," 李美华 / 译林出版社"
"77","三体全集

                
                   : 地球往事三部曲","9.4","41786","刘慈欣 ","2012-1-1 "," 重庆出版社"
"78","三国演义（全二册）","9.3","118194","[明] 罗贯中 ","1998-05 "," 人民文学出版社"
"79","白夜行","9.1","254241","[日] 东野圭吾 ","2013-1-1 "," 刘姿君 / 南海出版"
"80","福尔摩斯探案全集（上中下）","9.2","89356","[英] 阿·柯南道尔 ","1981-8 / 53.00元"," 丁钟华 等 / 群众出版社"
"81","动物农场","9.2","86494","[英] 乔治·奥威尔 ","2007-3 "," 荣如德 / 上海译文出版社"
"82","房思琪的初恋乐园","9.2","178906","林奕含 ","2018-1 "," 北京联合出版"
"83","小王子","9.0","561936","[法] 圣埃克苏佩里 ","2003-8 "," 马振聘 / 人民文学出版社"
"84","天龙八部","9.1","100143","金庸 ","1994-5 ",NA
"85","撒哈拉的故事","9.2","71591","三毛 ","2003-8 "," 哈尔滨出版社"
"86","安徒生童话故事集","9.2","85612","（丹麦）安徒生 ","1997-08 "," 叶君健 / 人民文学出版社"
"87","哈利<U+2022>波特","9.7","16806","J.K.罗琳 (J.K.Rowling) ","2008-12-1 "," 人民文学出版社"
"88","人类简史

                
                   : 从动物到上帝","9.1","126534","[以色列] 尤瓦尔·赫拉利 ","2014-11 "," 林俊宏 / 中信出版社"
